region,centerCode,centerType,organizationType,accountName,address1,address2,city,state,zipCode,phone,fax,website,votingRights,membershipStatus,vaAffiliated,mainPrograms,livingPrograms,pediatricPrograms,pediatricOnly
5,AZGC,TT1,Independent Lab,Donor Network of Arizona Immunogenetics Laboratory,2010 West Rio Salado Parkway,,Tempe,AZ,85281,602-222-2200,,http://www.dnaz.org/about-us/our-services/immunogenetics-laboratory/,Y,Approved,N,,,,N
5,AZGS,TX1,Transplant Hospital,Banner-University Medical Center Phoenix,1111 East McDowell Road,,Phoenix,AZ,85006,602-521-5831,602-521-5327,https://www.bannerhealth.com/,Y,Approved,N,"HR, KI, LI, PA",KI,,N
5,AZMC,IT1,Hospital Based Lab,Mayo Clinic in Arizona Histocompatibility Laboratory,5777 E. Mayo Boulevard,,Phoenix,AZ,85054,480-342-2700,,,N,Approved,N,,,,N
5,AZMC,TX1,Transplant Hospital,Mayo Clinic Hospital Arizona,5777 East Mayo Boulevard,,Phoenix,AZ,85054-4582,844-243-1846,507-284-0161,https://www.mayoclinic.org/departments-centers/transplant-center/home/orc-20203891?mc_id=us&utm_source=optn&utm_medium=l&utm_content=medicallistingtransplant&utm_campaign=mayoclinic&geo=national&placementsite=enterprise&invsrc=transplant&cauid=106867,Y,Approved,N,"HL, HN, HR, KI, LI, LU, PA","KI, LI",,N
5,AZOB,OP1,Independent OPO,Donor Network of Arizona,2010 West Rio Salado Parkway,,Tempe,AZ,85281,602-222-2200,602-222-2202,http://www.dnaz.org,Y,Approved,N,,,,N
5,AZSJ,TX1,Transplant Hospital,St. Joseph's Hospital and Medical Center,350 West Thomas Road,,Phoenix,AZ,85013,602-406-3000,,https://www.dignityhealth.org/arizona/locations/stjosephs,Y,Approved,N,"KI, LI, LU",KI,LU,N
5,AZTL,TT1,Independent Lab,Vitalant,124 West Thomas Road,Suite 210,Phoenix,AZ,85013,623-487-6400,602-279-8240,https://www.vitalanthealth.org/clinical-services/laboratory/human-leukocyte-antigen,Y,Approved,N,,,,N
5,AZUA,IT1,Hospital Based Lab,Banner University Medical Center- Clinical HLA Laboratory,1625 North Campbell Avenue,,Tucson,AZ,85719,520-694-6292,520-694-7329,http://www.umcarizona.org,N,Approved,N,,,,N
5,AZUA,TX1,Transplant Hospital,Banner University Medical Center-Tucson,1625 North Campbell Avenue,,Tucson,AZ,85719,520-694-0111,520-694-2692,https://www.bannerhealth.com/,Y,Approved,N,"KI, LI, PA",KI,,N
3,BSAC,BUS,Business,All Call LLC dba All Call Nursing,122 Mathews Road,,Clayton,LA,71326,5043296890,,https://allcallnursing.org/,N,Approved,N,,,,N
3,BSAP,BUS,Business,Asyston Professional LLC,13716 Hartle Groves Place #301,,Clermont,FL,34711,585-727-6746,,,N,Approved,N,,,,N
3,BSAR,BUS,Business,Arrowsmith RNs,1395 Morgan Drive,,Buckhead,GA,30625,985-445-7887,888-506-5754,,N,Approved,N,,,,N
5,BSAV,BUS,Business,Blue Skies Aviation and Logistics LLC,"485 South Rock Boulevard, Suite B",,Reno,NV,89502,833-897-5681,,,N,Approved,N,,,,N
3,BSBH,BUS,Business,Bluerock Health Systems,3324 Northeast 34th Street,,Fort Lauderdale,FL,33308,954-247-4029,,,N,Approved,N,,,,N
9,BSBT,BUS,Business,Buckeye Transplant Services,369 Franklin Street,,Buffalo,NY,14202,614-689-1129,,http://www.buckeyetransplant.com/,N,Approved,N,,,,N
11,BSCA,BUS,Business,"Clinical Consulting Associates, Inc.",9988 South Wagstaff Circle,,North Chesterfield,VA,23236,443-306-7875,866-434-7837,http://www.clinicalconsultingassociates.com,N,Approved,N,,,,N
5,BSCM,BUS,Business,CompuMed Inc.,5777 West Century Boulevard Suite 360,,Los Angeles,CA,90045,310-258-5000,,,N,Approved,N,,,,N
5,BSCO,BUS,Business,"Coppel Consulting, LLC.",101 Talmadge,,Irvine,CA,92602,310-922-2154,,https://www.coppelconsulting.org/,N,Approved,N,,,,N
10,BSCS,BUS,Business,Organ Perfusion and Cellular Services,12354 Wheathill Pass,,Fishers,IN,46037,231-557-5888,,,N,Approved,N,,,,N
7,BSCT,BUS,Business,CellTrans Inc,2201 West Campbell Park Drive,,Chicago,IL,60612,,,,N,Approved,N,,,,N
11,BSDC,BUS,Business,"Donor Call Solutions, LLC",102 Langdale Place,,Cary,NC,27513,602-214-8703,,https://www.donorcallsolutions.org/,N,Approved,N,,,,N
5,BSDD,BUS,Business,Dedicated Donor Call,3010 West Oceanfront B,,Newport Beach,CA,92663,602-909-2164,,www.dedicateddonorcall.org,N,Approved,N,,,,N
3,BSDL,BUS,Business,DonorLink,5011 North Ocean Boulevard #2 Upper,,Boynton Beach,FL,33435,561-613-1517,,,N,Approved,N,,,,N
8,BSDR,BUS,Business,Donor Recovery Services,57 Lakeland Lane,,Sunrise Beach,MO,65079,913-579-7282,,https://donorrecoveryservices.com/,N,Approved,N,,,,N
10,BSDS,BUS,Business,Donor Staff Support,3584 Ridgewood Road,,Toledo,OH,43606,,,,N,Approved,N,,,,N
5,BSDX,BUS,Business,"CareDx, Inc.",8000 Marina Boulevard,,Brisbane,CA,94005,415-287-2300,415-287-2450,https://caredx.com/,N,Approved,N,,,,N
1,BSED,BUS,Business,"e-DonorCare Procurement Consultants, Inc",679 Washington Street  Suite 3-160,,Attleboro,MA,02703,210-215-8116,,,N,Approved,N,,,,N
8,BSGM,BUS,Business,Grizzly Medical Staffing,24751 East Layton Place,,Aurora,CO,80016,303-501-6272,,https://www.grizzlymedicalstaffing.com/,N,Approved,N,,,,N
3,BSGP,BUS,Business,Gold Standard Preservation,"3904 North Druid Hills Road, Suite 330",,Decatur,GA,30033,470-901-3959,,https://goldstandardpreservation.org/,N,Approved,N,,,,N
5,BSGR,BUS,Business,"Gravitas Surgical Solutions, LLC",3425 East Cherokee Street,,Phoenix,AZ,85044,520-237-6732,,,N,Approved,N,,,,N
3,BSHL,BUS,Business,Heart and Lung Transplant National Recovery Program,"14286 Beach Boulevard, Suite 19",,Jacksonville,FL,32250,713-256-9045,,https://hlt-nrp.org/,N,Approved,N,,,,N
1,BSHM,BUS,Business,HML Partners,71 Central Ave,,Braintree,MA,02184,781-884-7127,,,N,Approved,N,,,,N
2,BSII,BUS,Business,IIAM,125 May Street,,Edison,NJ,08837,800-486-4426,732-661-3890,https://iiam.org/,N,Approved,N,,,,N
11,BSIR,BUS,Business,"Institute of Regenerative Medicine, LLC",1864 Concert Drive,,Virginia Beach,VA,23453,757-464-4761,757-299-4110,https://www.lifenethealth.org/institute-regenerative-medicine,N,Approved,N,,,,N
11,BSKP,BUS,Business,"Keystone Perfusion Services, LLC","1050 Johnnie Dodds Boulevard, Suite 2278",,Mount Pleasant,SC,29464,8562646089,,https://keystoneperfusion.com/,N,Approved,N,,,,N
5,BSLG,BUS,Business,"Life Giving Resources, Inc.",1961 North 500 East,,Orem,UT,84097,855-547-4438,,https://www.lifegivingresources.com/,N,Approved,N,,,,N
10,BSLI,BUS,Business,"34 Lives, PBC",1281 Win Hentschel Boulevard Suite 2574,,West Lafayette,IN,47906,800-782-8195,800-782-8195,,N,Approved,N,,,,N
2,BSLW,BUS,Business,"Lonza Walkersville, Inc.",8830 Biggs Ford Road,,Walkersville,MD,21793,336-263-9673,,,N,Approved,N,,,,N
3,BSME,BUS,Business,T-I Med LLC,11820 Southwest 24th Terrace,,Miami,FL,33175,305-202-4561,,,N,Approved,N,,,,N
9,BSMM,BUS,Business,"MatchMind, LLC",153 Old Colony Road,,Hartsdale,NY,10530,210-213-9778,,,N,Interim Approval-Pending BOD Action,N,,,,N
10,BSNL,BUS,Business,Network For Life,770 Kinnear Road,,Columbus,OH,43212,800-525-5667,,,N,Approved,N,,,,N
5,BSNT,BUS,Business,Nevada Transplant Institute,2055 East Sahara Avenue,,Las Vegas,NV,89104,1-833-746-46,702-796-4225,,N,Interim Approval-Pending BOD Action,N,,,,N
11,BSOL,BUS,Business,"OmniLife, Inc.",348 East Main Street,,Lexington,KY,40507,8155757017,,https://www.getomnilife.com/,N,Approved,N,,,,N
11,BSOP,BUS,Business,OrganLink Plus,3470 Moores Spring Road,,Westfield,NC,27053,743-203-5465,,https://organlinkplus.com,N,Approved,N,,,,N
9,BSPC,BUS,Business,"ProCure On-Demand, Inc.",747 3rd Avenue Suite 3504,,New York,NY,10017,917-993-1279,,,N,Approved,N,,,,N
2,BSPF,BUS,Business,"Lung Bioengineering, Inc.",1015 Spring Street,,Silver Spring,MD,20910,844-367-3857,904-992-4718,https://www.lungbioengineering.com/,N,Approved,N,,,,N
11,BSPL,BUS,Business,"PalmettoStar Life Associates, LLC","1964 Ashley River Road, Suite B #80953",,Charleston,SC,29407,843-410-3225,,https://palmettostarlife.com/,N,Approved,N,,,,N
5,BSPO,BUS,Business,Organ Procurement Solutions LLC,1455 Kettner Blvd Suite #1103,,San Diego,CA,92101,619-840-1139,,www.organprocurementsolutions.com,N,Approved,N,,,,N
7,BSPR,BUS,Business,Perfusion Solution Inc.,2563 West Creedy Road,,Beloit,WI,53511,(866) 661-53,,https://perfusionsolution.com/,N,Interim Approval-Pending BOD Action,N,,,,N
11,BSPS,BUS,Business,OPO Procurement Support,780 Jefferson Drive,,Palmyra,VA,22963,866-220-3592,866-222-1324,,N,Approved,N,,,,N
5,BSRC,BUS,Business,"Transplant Recovery Pros, LLC",8912 Paul B Koonce Street,,Houston,TX,77061,224-298-8662,,www.transplantrecoverypros.org,N,Approved,N,,,,N
5,BSRE,BUS,Business,Recovicare P.A.,2100 Powell Street,,Emeryville,CA,94608,,888-322-2303,,N,Approved,N,,,,N
3,BSRT,BUS,Business,"Ready Transplant Staffing, LLP",850 Dogwood Road Suite B200 #2118,,Lawrenceville,GA,30044,470-227-4780,,,N,Approved,N,,,,N
5,BSSD,BUS,Business,Specialist Direct,2831 Saint Rose Parkway,,Henderson,NV,89052,888-317-0776,,,N,Approved,N,,,,N
8,BSSI,BUS,Business,"Surge Ingenuity, Inc.",18919 West 158th Street,,Olathe,KS,66062,617-877-6506,,,N,Approved,N,,,,N
8,BSSL,BUS,Business,Statline,125 May Street,,Edison,NJ,08837,888-881-7828,,,N,Approved,N,,,,N
8,BSST,BUS,Business,XVIVO Services Inc.,"3615 South Huron Street, Suite 201",,Englewood,CO,80110,877-313-3448,866-280-4796,https://www.xvivogroup.com,N,Approved,N,,,,N
11,BSTA,BUS,Business,"Transplant Advocates, LLC",164 Lynhurst Drive,,Crossville,TN,38558,,,,N,Approved,N,,,,N
11,BSTC,BUS,Business,Transplant Coordinators of America,636 Long Point Road,,Mount Pleasant,SC,29464,843-270-3882,,http://www.transplantcoordinatorsofamerica.com/,N,Approved,N,,,,N
9,BSTE,BUS,Business,TransPro Technologies,1161 Bedford Avenue Suite 103,,Brooklyn,NY,11216,917-886-2471,,,N,Approved,N,,,,N
1,BSTI,BUS,Business,"TransMedics, Inc",200 Minuteman Road Suite 302,,Andover,MA,01810,978-552-0900,,https://www.transmedics.com/,N,Approved,N,,,,N
8,BSTL,BUS,Business,Transplant Leadership Institute,13736 Quigley Street,,Overland Park,KS,66221,210-896-0882,,https://transplantleaders.com/,N,Approved,N,,,,N
5,BSTM,BUS,Business,"Transplant Management Group, LLC",11835 Carmel Mountain Road,Suite 1304-248,San Diego,CA,92128,877-868-9170,901-339-2332,http://www.transplantmanagement.com,N,Approved,N,,,,N
5,BSTO,BUS,Business,Trinity Medical Solutions,"4100 West Galveston Street, Suite 4",,Chandler,AZ,85226,888-977-9772,,,N,Approved,N,,,,N
11,BSTP,BUS,Business,Tempo: Organ Procurement Professionals,8224 Spiral Drive,,Chesterfield,VA,23832,804-543-8460,,,N,Approved,N,,,,N
10,BSTR,BUS,Business,"Transplant Staffing Resources, LLC",1442 Avondale Drive,,Westfield,IN,46074,231-557-5888,,https://transplantstaffingresources.org/,N,Approved,N,,,,N
5,BSTS,BUS,Business,"Transplant Solutions, LLC",16248 North 9th Place,,Phoenix,AZ,85022,6233023136,,https://transplantsolutionsllc.com/,N,Approved,N,,,,N
5,BSTT,BUS,Business,Thoracic Transplant Consultants Inc,"1950 Clay Street, Suite 401",,San Francisco,CA,94109,415-823-1954,415-359-1954,,N,Approved,N,,,,N
11,BSTX,BUS,Business,Transplant Care Call,3186 Great Egret Drive,,Johns Island,SC,29455,866-314-4727,,,N,Interim Approval-Pending BOD Action,N,,,,N
11,BSUN,BUS,Business,United Network for Organ Sharing,700 North 4th Street,,Richmond,VA,23219,804-782-4800,,https://unos.org/,N,Approved,N,,,,N
3,BSVA,BUS,Business,"Valiant AI, LLC",3251 Progress Drive,,Orlando,FL,32826,912-358-9177,,,N,Approved,N,,,,N
5,CAAV,TX1,Transplant Hospital,Antelope Valley Medical Center,1600 West Avenue J,,Lancaster,CA,93534,661-949-5000,661-949-5510,https://www.avmc.org/,Y,Approved,N,KI,KI,,N
5,CACH,TX1,Transplant Hospital,Rady Children's Hospital and Health Center,3020 Children's Way,,San Diego,CA,92123-4282,858-576-1700,858-966-5815,http://www.rchsd.org,Y,Approved,N,"HR, KI, LI",,"HR, KI, LI",Y
5,CACL,IT1,Hospital Based Lab,HLA Laboratory at Childrens Hospital Los Angeles,4650 Sunset Boulevard,,Los Angeles,CA,90027,323-361-2358,323-361-8125,,N,Approved,N,,,,N
5,CACL,TX1,Transplant Hospital,Children's Hospital Los Angeles,4650 Sunset Boulevard,,Los Angeles,CA,90027,323-660-2450,,http://www.chla.org,Y,Approved,N,"HR, KI, LI, PA",,"HR, KI, LI, PA",Y
5,CACS,IT1,Hospital Based Lab,Cedars-Sinai Transplantation and Immunogenetics Laboratory,8700 W Beverly Boulevard,,Los Angeles,CA,90048-1869,310-423-4979,310-423-0391,http://www.csmc.edu/,N,Approved,N,,,,N
5,CACS,TX1,Transplant Hospital,Cedars-Sinai Medical Center,8700 Beverly Boulevard,,Los Angeles,CA,90048,310-423-5000,,https://www.cedars-sinai.org/,Y,Approved,N,"AW, EM, GL, HL, HN, HR, KI, LE, LI, LU, MS, OG, PA, UE, UT",KI,KI,N
5,CADN,OP1,Independent OPO,Donor Network West,12667 Alcosta Boulevard,Suite 500,San Ramon,CA,94583,888-570-9400,925-480-3101,http://www.donornetworkwest.org/,Y,Approved,N,,,,N
5,CAGH,TX1,Transplant Hospital,Scripps Green Hospital,10666 North Torrey Pines Road,,La Jolla,CA,92037,858-455-9100,,https://scrippsamg.com/hospital/scripps-green-hospital/,Y,Approved,N,"KI, LI, PA",KI,,N
5,CAGS,OP1,Independent OPO,Sierra Donor Services,3940 Industrial Boulevard,,West Sacramento,CA,95691,916-567-1600,916-567-8300,https://sierradonor.org/,Y,Approved,N,,,,N
5,CAHP,TX1,Transplant Hospital,City of Hope National Medical Center,1500 East Duarte Road,,Duarte,CA,91010,626-256-4673,626-301-8489,https://www.cityofhope.org/,Y,Approved,N,PI,,,N
5,CAIL,TT1,Independent Lab,"University of California, Irvine HLA Tissue Typing Laboratory","101 The City Drive South Building 54, Ro",,Orange,CA,92868,714-456-5889,714-456-3964,https://www.testmenu.com/uci/search?category=6,Y,Approved,N,,,,N
5,CAIM,TX1,Transplant Hospital,University of California Irvine Medical Center,101 The City Drive South,,Orange,CA,92868,714-456-6011,,http://www.ucirvinehealth.org/medical-services/transplant,Y,Approved,N,"KI, PA",KI,,N
5,CALA,TX1,Transplant Hospital,Harbor UCLA Medical Center,1000 West Carson Street,,Torrance,CA,90509,424-306-4000,,http://www.harbor-ucla.org/,Y,Approved,N,KI,KI,,N
5,CALL,IT1,Hospital Based Lab,Histocompatibility and Flow Cytometry Laboratories at Loma Linda University,11234 Anderson Street,,Loma Linda,CA,92354,909-558-4000,,,N,Approved,N,,,,N
5,CALL,TX1,Transplant Hospital,Loma Linda University Medical Center,11234 Anderson Street,,Loma Linda,CA,92354,909-558-3636,909-558-3759,https://lluh.org/transplant-institute,Y,Approved,N,"HR, KI, LI, PA",KI,"HR, KI",N
5,CAMB,TX1,Transplant Hospital,UCSF Medical Center at Mission Bay,1845 4th Street,,San Francisco,CA,94158,475-476-2423,415-476-9976,http://www.ucsfhealth.org,Y,Approved,N,"HR, KI, LI",,"HR, KI, LI",Y
5,CANI,TT1,Independent Lab,Eurofins Donor & Product Testing (California),"1303 W. Optical Drive, Suite #380",,Azusa,CA,91702,213-387-4199,213-387-6543,https://www.eurofinsus.com/vrl,Y,Approved,N,,,,N
5,CAOP,OP1,Independent OPO,OneLegacy,1303 West Optical Drive,,Azusa,CA,91702,213-229-5600,213-229-5601,http://www.onelegacy.org,Y,Approved,N,,,,N
5,CAPC,TX1,Transplant Hospital,Lucile Salter Packard Children's Hospital at Stanford,725 Welch Road,,Palo Alto,CA,94304,650-497-8000,,https://www.stanfordchildrens.org/en.html,Y,Approved,N,"HL, HR, IN, KI, LI, LU, PA",KI,"HR, KI, LI, LU, PA",Y
5,CAPM,IT1,Hospital Based Lab,Tissue Typing Laboratory at California Pacific Med Ctr,2330 Clay Street,Room 214,San Francisco,CA,94115,415-600-3430,415-600-3470,,N,Approved,N,,,,N
5,CAPM,TX1,Transplant Hospital,California Pacific Medical Center-Van Ness Campus,1101 Van Ness Avenue,,San Francisco,CA,94109,415-600-6000,415-600-1298,http://www.cpmc.org/advanced/transplant,Y,Approved,N,"HR, KI, LI, PA","KI, LI",,N
5,CASD,IO1,Hospital Based OPO,Lifesharing - A Donate Life Organization,7436 Mission Valley Road,,San Diego,CA,92108,619-543-7225,619-543-0017,http://www.lifesharing.org,Y,Approved,N,,,,N
5,CASD,IT1,Hospital Based Lab,Histocompatibility and Immunogenetics Laboratory at UCSD,10865 Road to the Cure,Suite 150,San Diego,CA,92121,858-657-5740,858-642-0595,,N,Approved,N,,,,N
5,CASD,TX1,Transplant Hospital,University of California San Diego Medical Center,9300 Campus Point Drive,,La Jolla,CA,92037,619-543-6222,,http://health.ucsd.edu,Y,Approved,N,"HL, HR, KI, LI, LU","KI, LI","HR, KI, LI, LU",N
5,CASF,TX1,Transplant Hospital,University of California San Francisco Medical Center,505 Parnassus Avenue,,San Francisco,CA,94143,415-353-1551,,http://www.ucsfhealth.org/,Y,Approved,N,"HL, HR, KI, LI, LU, PA, PI","KI, LI","HR, LU",N
5,CASG,TX1,Transplant Hospital,Sutter Medical Center Sacramento,2825 Capital Avenue,,Sacramento,CA,95816,916-887-4242,916-887-4232,http://suttermedicalcenter.org/,Y,Approved,N,HR,,,N
5,CASH,TX1,Transplant Hospital,Sharp Memorial Hospital,7901 Frost Street,,San Diego,CA,92123-2788,858-939-3400,,http://www.sharp.com/transplant/index.cfm,Y,Approved,N,"HR, KI",KI,,N
5,CASJ,TX1,Transplant Hospital,Saint Joseph Hospital,1100 West Stewart Drive,,Orange,CA,92868,714-633-9111,,http://www.sjo.org,Y,Approved,N,"KI, PA",KI,,N
5,CASL,TT1,Independent Lab,Stanford Blood Center - Histocompatibility & Immunogenetics Lab- Porter,3155 Porter Drive,,Palo Alto,CA,94304,650-724-0100,650-724-0294,,Y,Approved,N,,,,N
5,CASM,TX1,Transplant Hospital,University of California Davis Medical Center,2315 Stockton Boulevard,,Sacramento,CA,95817-2201,916-734-2111,,http://www.ucdmc.ucdavis.edu/transplant/,Y,Approved,N,"KI, LI","KI, LI",KI,N
5,CAST,TT1,Independent Lab,"Vitalant HLA Laboratory, Northern California",10536 Peter A. McCuen Boulevard,,Mather,CA,95655-4128,916-453-3680,916-456-2414,http://www.BloodSource.org,Y,Approved,N,,,,N
5,CASU,IT1,Hospital Based Lab,"Stanford Blood Center, Histocompatibility Lab-Hillview",3373 Hillview Avenue,,Palo Alto,CA,94304-1204,650-723-5548,650-723-6350,http://bloodcenter.stanford.edu,N,Approved,N,,,,N
5,CASU,TX1,Transplant Hospital,Stanford Health Care,500 Pasteur Drive,,Stanford,CA,94305,650-723-4000,650-725-4085,http://stanfordhospital.org/,Y,Approved,N,"HL, HR, KI, LI, LU, PA, PI","KI, LI",LU,N
5,CATL,TT1,Independent Lab,"University of California at Los Angeles, Immunogenetics Center",1000 Veteran Avenue,,Los Angeles,CA,90095-1652,310-825-7651,310-206-3216,https://www.uclahealth.org/departments/pathology/research-services/immunogenetics-uic,Y,Approved,N,,,,N
5,CAUC,TX1,Transplant Hospital,University of California at Los Angeles Medical Center,757 Westwood Plaza,,Los Angeles,CA,90095,310-825-6836,310-825-9111,https://www.uclahealth.org/transplants/,Y,Approved,N,"AW, HL, HR, IN, KI, LI, LU, OG, PA","KI, LI","HR, KI, LI, PA",N
5,CAUH,TX1,Transplant Hospital,Keck Hospital of USC,1500 San Pablo Street,,Los Angeles,CA,90033-4612,323-442-8500,323-442-8672,http://transplant.keckmedicine.org/,Y,Approved,N,"HL, HR, KI, LI, LU, OG, PA","KI, LI",,N
5,CAUS,TT1,Independent Lab,UCSF Immunogenetics and Transplantation Laboratory,45 Castro Street,Main HospitalLevel B,San Francisco,CA,94114,415-476-3886,415-502-4926,https://itl.ucsf.edu/,Y,Approved,N,,,,N
8,COCH,TX1,Transplant Hospital,Children's Hospital Colorado,13123 East 16th Avenue,,Aurora,CO,80045,720-777-1234,,http://www.childrenscolorado.org/,Y,Approved,N,"HR, KI, LI",KI,"HR, KI, LI",Y
8,COHL,TT1,Independent Lab,ClinImmune Labs,12705 E. Montview Blvd. Suite 250,,Aurora,CO,80010,303-724-1300,303-724-1310,http://www.clinimmune.com,Y,Approved,N,,,,N
8,COIA,TT1,Independent Lab,Eurofins Donor & Product Testing (Colorado),6933-B S. Revere Parkway,,Centennial,CO,80012,303-365-9000,303-343-6666,https://www.eurofinsus.com/vrl,Y,Approved,N,,,,N
8,COPM,TX1,Transplant Hospital,AdventHealth Porter,2525 South Downing Street,,Denver,CO,80210,303-778-1955,,https://www.adventhealth.com/hospital/adventhealth-porter/transplant-care,Y,Approved,N,"KI, LI",KI,,N
8,CORS,OP1,Independent OPO,Donor Alliance,200 Spruce Street,,Denver,CO,80230,303-329-4747,303-321-1183,http://www.donoralliance.org,Y,Approved,N,,,,N
8,COSL,TX1,Transplant Hospital,Presbyterian/St Luke's Medical Center,1719 East 19th Avenue,,Denver,CO,80218,303-839-6000,,https://healthonecares.com/locations/presbyterian-st-lukes/,Y,Approved,N,"KI, LI",KI,,N
8,COUC,TX1,Transplant Hospital,University of Colorado Hospital/Health Science Center,12605 East 16th Avenue,,Aurora,CO,80045,720-848-2280,,http://www.uch.edu/conditions/transplant-services/index.aspx,Y,Approved,N,"HL, HR, KI, LI, LU, PA","KI, LI",LU,N
1,CTHH,IT1,Hospital Based Lab,Hartford Hospital Transplant Immunology Laboratory,80 Seymour Street,,Hartford,CT,06102-5037,860-972-3938,860-597-4143,,N,Approved,N,,,,N
1,CTHH,TX1,Transplant Hospital,Hartford Hospital,80 Seymour Street,,Hartford,CT,06102-5037,860-972-4219,860-545-4328,http://www.harthosp.org,Y,Approved,N,"HR, KI, LI","KI, LI",KI,N
1,CTYN,IT1,Hospital Based Lab,Histocompatibility and Immune Evaluation Laboratory at Yale,333 Cedar Street,FMB 15,New Haven,CT,06520-8062,203-785-4812,203-785-7162,,N,Approved,N,,,,N
1,CTYN,TX1,Transplant Hospital,Yale New Haven Hospital,20 York Street,,New Haven,CT,06510,203-785-2565,,http://www.ynhh.org,Y,Approved,N,"HN, HR, KI, LI","KI, LI","HR, KI, LI",N
2,DCCH,TX1,Transplant Hospital,Children's National Medical Center,"111 Michigan Avenue, NW",,Washington,DC,20010-2970,202-476-5000,202-476-4366,https://www.childrensnational.org/,Y,Approved,N,"HL, HR, KI, LU",KI,"HR, KI, LU",Y
2,DCGU,IT1,Hospital Based Lab,Histocompatibility Laboratory at Georgetown University,"3800 Reservoir Road, NW",,Washington,DC,20007,202-444-3550,202-444-2861,,N,Approved,N,,,,N
2,DCGU,TX1,Transplant Hospital,Medstar Georgetown Transplant Institute,3800 Reservoir Road NW,,Washington,DC,20007,202-444-3700,202-444-6193,http://gumc.georgetown.edu/,Y,Approved,N,"IN, KI, LE, LI, PA, PI","KI, LI","KI, LI, PA",N
2,DCGW,TX1,Transplant Hospital,George Washington University Hospital,900 23rd Street NW,,Washington,DC,20037,202-715-4000,202-715-4663,https://www.gwhospital.com,Y,Approved,N,"KI, LI, PA",KI,,N
2,DCWH,TX1,Transplant Hospital,Washington Hospital Center,"110 Irving Street, NW",,Washington,DC,20010,202-877-7000,,http://www.whcenter.org,Y,Approved,N,"HR, KI",,,N
2,DCWR,IT1,Hospital Based Lab,Transplant Immunology Lab at Walter Reed National Medical Center - Bethesda,8901 Wisconsin Avenue,"Bldg 9, 1st Fl,#1640",Bethesda,MD,20889,301-319-7989,301-400-0929,http://www.wrnmmc.capmed.mil,N,Approved,Y,,,,N
2,DCWR,TX1,Transplant Hospital,Walter Reed National Military Medical Center at Bethesda,8901 Rockville Pike,,Bethesda,MD,20889,301-295-4331,301-295-6081,https://walterreed.tricare.mil/,Y,Approved,Y,KI,KI,,N
2,DEAI,TX1,Transplant Hospital,Nemours Children's Hospital Delaware,1600 Rockland Road,,Wilmington,DE,19803,302-651-4000,,http://www.nemours.org/about/location/nchaidhc.html,Y,Approved,N,"HR, KI, LI, PA","KI, LI","HR, KI, LI",Y
2,DECC,TX1,Transplant Hospital,Christiana Care Health Services,4735 Ogletown-Stanton Road,,Newark,DE,19713,302-623-3863,302-623-3864,http://www.christianacare.org,Y,Approved,N,KI,KI,,N
